filename,sentence,phonetic,flag
aac9,Could_be_better.,0BHKUHDD<a3>BBII<a3>BBEHDX<c1>{HL-}ER0E<a6>{L%0},keep
aac7,What's_happening_with_you?,0BWWAHTTSS<c3>{H}HXAEPP<c1>{HL-}IX<a1>NNIXNX<a4>WWIHTH<a2>JYUW0E<a6>{L%3},keep
aac68,I_have_Lou_Gehrig's_disease_and_I_have_trouble_speaking.,0BTQAI<c3>{H}HXAEVV<c4>{H}LLUW<c3>{H}GGEHRX<c1>{H}IXGGZZ<a3>DDIX<a1>ZZIIZZ<c4>{H}AENNDD<a3>TQAI<c3>HXAEVV<a3>HTRRAHBB<c1>{H}EL<a4>SSPPIIKK<c1>{HL-}IXNX0E<a6>{L%0},keep
aac69,I_use_this_machine_for_communication.,0BTQAI<c3>{H}JYUWZZ<c4>{H}DHIHSS<c3>MMAX<a1>SHIINN<c4>{H}FFOR<a2>HKAX<a1>MMJYUW<b1>NNAX<a1>HKEI<c1>{HL-}SHEN0E<a6>{L%0},keep
aac10,I_am_getting_along.,0BTQAI<c3>{H}AEMM<a3>GGEHDX<c1>{H}IXNX<a3>AX<a1>LLAANX0E<c6>{HL-L%0},keep
aac71,Please_tell_me_if_you_don't_understand_what_I_am_saying.,0BHPLLIIZZ<c3>{H}HTEHLX<c3>{H}MMII<a4>IHFF<a3>JYUW<c3>{H}DDOUNNTT<a3>TQAHNN<b1>DDER<a1>SSTTAENNDD<c4>{H}WWAHTT<c3>TQAI<c3>AEMM<a3>SSEI<c1>{HL-}IXNX0E<a6>{L%0},keep
aac16,"It_doesn't_matter,_I_guess.",0BTQIHTT<c3>{H}DDAHZZ<c1>{H}IXNNTT<a3>MMAEDX<c1>{HL-}ER00<a6>{H%2}TQAI<c3>{H}GGEHSS0E<c6>{HL-L%6},keep
aac18,It_is_not_that_important.,0BTQIHTT<c3>{H}IHZZ<a3>NNAATT<c3>{H}DHAETT<c3>{H}IXMM<a1>HPOR<c1>{HL-}TTIXNNTT0E<a6>{L%0},keep
aac15,I_don't_think_so.,0BTQAI<c3>{H}DDOUNNTT<a3>THIHNXKK<c3>{H}SSOU0E<c6>{HL-L%0},keep
aac22,Isn't_that_wonderful?,0BTQIHZZ<c1>IXNNTT<a3>DHAETT<c3>{H}WWAHNN<c1>{LH-}DDER<a1>FFEL0E<a6>{H%4},keep
aac14,I_don't_know.,0BTQAI<c3>{H}DDOUNNTT<a3>NNOU0E<c6>{HL-L%0},keep
aac39,I_changed_my_mind.,0BTQAI<c3>{H}CHEINNJHDD<c4>{H}MMAI<a3>MMAINNDD0E<c6>{HL-L%0},keep
aac41,Let's_do_it_another_time.,0BLLEHTTSS<c4>{H}DDUW<c3>{H}IHTT<a4>AX<a1>NNAHDH<c1>ER<a3>HTAIMM0E<c6>{HL-L%0},keep
aac27,Okay.,0BOU<a1>HKEI0E<c6>{HL-L%0},keep
aac37,Thank_you.,0BTHAENXKK<c3>{HL-}JYUW0E<a6>{L%0},keep
aac38,You're_welcome.,0BJYUHRX<c3>{H}WWEHLX<c1>{HL-}KKAXMM0E<a6>{L%0},keep
aac43,I_need_you_to_hurry.,0BTQAI<c3>{H}NNIIDD<c3>{H}JYUW<a4>HTUW<a2>HXER<c1>{HL-}II0E<a6>{L%0},keep
aac70,Give_me_a_minute.,0BGGIHVV<c3>{H}MMII<a4>AX<a2>MMIHNN<c1>{HL-}IXTT0E<a6>{L%0},keep
aac21,Alright.,0BAOLX<a1>RRAITT0E<c6>{HL-L%0},keep
aac32,What_do_you_think_about_that?,0BWWAHTT<c3>{H}DDUW<a3>JYUW<c3>THIHNXKK<c4>{HL-}AX<a1>BBAUTT<c3>DHAETT0E<c6>{L%3},keep
aac12,I_like_that.,0BTQAI<c3>{H}LLAIKK<c3>{HL-}DHAETT0E<a6>{L%0},keep
aac35,That's_interesting.,0BDHAETTSS<c3>{H}TQIHNN<c1>{HL-}TTRRAXSS<a1>TTIXNX0E<a6>{L%0},keep
aac36,Tell_me_more.,0BHTEHLX<c3>{H}MMII<a4>MMOR0E<c6>{HL-L%0},keep
aac40,Let's_try_that_again.,0BLLEHTTSS<c4>{H}HTRRAI<c4>{H}DHAETT<a3>AX<a1>GGEHNN0E<c6>{HL-L%0},keep
aac42,Tell_me_what_you_think_that_I_said.,0BHTEHLX<c3>{H}MMII<a4>WWAHTT<c3>JYUW<c3>THIHNXKK<c4>{H}DHAETT<a3>TQAI<c3>SSEHDD0E<c6>{HL-L%0},keep
aac44,I_would_like_for_you_to_hurry.,0BTQAI<c3>{H}WWUHDD<a3>LLAIKK<c4>{H}FFOR<a2>JYUW<a3>HTUW<a2>HXER<c1>{HL-}II0E<a6>{L%0},keep
aac17,It_is_important_to_me.,0BTQIHTT<c3>{H}IHZZ<a3>IXMM<a1>HPOR<c1>{HL-}TTIXNNTT<a4>HTUW<a2>MMII0E<a6>{L%0},keep
aac20,Really.,0BRRIHLX<c1>{HL-}II0E<a6>{L%0},keep
aac26,I_know_it.,0BTQAI<c3>{H}NNOU<c3>{HL-}IHTT0E<a6>{L%0},keep
aac45,I_need_some_help_with_Harry.,0BTQAI<c3>{H}NNIIDD<c4>{H}SSAHMM<c3>HXEHLXPP<c4>{H}WWIHTH<a2>HXAERX<c1>{HL-}II0E<a6>{L%0},keep
aac46,Can_that_wait_until_another_time?,0BHKAENN<a3>DHAETT<c3>{H}WWEITT<c4>{H}AXNN<a1>HTIHLX<c3>AX<a1>NNAHDH<c1>ER<a3>HTAIMM0E<c6>{LH-H%4},keep
aac47,Just_a_minute.,0BJHAHSSTT<c4>{H}AX<a2>MMIHNN<c1>{HL-}IXTT0E<a6>{L%0},keep
aac48,I'm_not_finished.,0BTQAIMM<c3>{H}NNAATT<c3>{H}FFIHNN<c1>{HL-}IHSHTT0E<a6>{L%0},keep
aac52,Great_to_see_you_again.,0BGGRREITT<c4>{H}HTUW<a2>SSII<c3>{H}JYUW<a4>AX<a1>GGEHNN0E<c6>{HL-L%0},keep
aac64,Call_me_back_when_you_can.,0BHKAOLX<c3>{H}MMII<a4>BBAEKK<c3>{HL-}WWEHNN<c3>JYUW<c3>HKAENN0E<a6>{L%0},keep
aac50,Thanks_for_stopping_by.,0BTHAENXKKSS<c4>{H}FFOR<a2>SSTTAAPP<c1>{H}IXNX<a3>BBAI0E<c6>{HL-L%0},keep
aac55,Goodbye.,0BGGUHDD<a1>BBAI0E<c6>{HL-L%0},keep
aac51,Come_back_again.,0BHKAHMM<c4>{H}BBAEKK<c3>{H}AX<a1>GGEHNN0E<c6>{HL-L%0},keep
aac30,Uhhuh.,0BAX<a1>HXAH0E<c6>{HL-L%0},keep
aac53,See_you_soon.,0BSSII<c3>{H}JYUW<a4>SSUWNN0E<c6>{HL-L%0},keep
aac54,Good_night.,0BGGUHDD<c3>{H}NNAITT0E<c6>{HL-L%0},keep
aac56,I'd_like_to_talk_to_Harry.,0BTQAIDD<c3>{H}LLAIKK<c4>{H}HTUW<a2>HTAOKK<c4>{H}HTUW<a2>HXAERX<c1>{HL-}II0E<a6>{L%0},keep
aac58,I_have_a_speech_problem.,0BTQAI<c3>{H}HXAEVV<c4>{H}AX<a2>SSPPIICH<c3>{HL-}HPRRAABB<c1>LLAXMM0E<a6>{L%0},keep
aac59,I_use_a_machine_to_talk.,0BTQAI<c3>{H}JYUWZZ<c3>{H}AX<a2>MMAX<a1>SHIINN<c4>{H}HTUW<a2>HTAOKK0E<c6>{HL-L%0},keep
aac60,Please_be_patient.,0BHPLLIIZZ<c3>{H}BBII<a3>HPEI<c1>{HL-}SHIXNNTT0E<a6>{L%0},keep
aac61,The_number_I_am_dialing_is_helpful.,0BDHAX<a2>NNAHMM<c1>{H}BBER<a4>TQAI<c3>AEMM<a3>DDAI<c1>{H}EL<a1>IXNX<a4>IHZZ<a3>HXEHLXPP<c1>{HL-}FFEL0E<a6>{L%0},keep
aac63,I'll_talk_to_you_soon.,0BTQAILX<c3>{H}HTAOKK<c4>{H}HTUW<a2>JYUW<a3>SSUWNN0E<c6>{HL-L%0},keep
aac49,When_will_you_be_back?,0BWWEHNN<c3>{H}WWIHLX<a3>JYUW<c3>BBII<a3>BBAEKK0E<c6>{HL-L%3},keep
aac65,Do_you_understand_me?,0BDDUW<a3>JYUW<c3>{H}TQAHNN<b1>DDER<a1>SSTTAENNDD<c3>{LH-}MMII0E<a6>{H%4},keep
aac67,I_can_hear_and_understand_everything_that_you_say.,0BTQAI<c3>{H}HKAENN<a3>HXIHRX<c3>{H}AENNDD<a3>TQAHNN<b1>DDER<a1>SSTTAENNDD<c4>{H}TQEHVV<c1>{H}RRII<a1>THIHNX<b4>DHAETT<a3>JYUW<c3>SSEI0E<c6>{HL-L%0},keep
aac28,Yeah.,0BJYAE<c1>{HL-}AX0E<a6>{L%0},keep
aac29,Good.,0BGGUHDD0E<c6>{HL-L%0},keep
aac72,This_is_an_emergency.,0BDHIHSS<c3>{H}IHZZ<a3>AENN<a2>IX<a1>MMER<c1>{HL-}JHIXNN<a1>SSII0E<a6>{L%0},keep
aac73,Get_help_now!,0BGGEHTT<c4>{H}HXEHLXPP<c4>{H}NNAU0E<c6>{HL-L%1},keep
aac74,I_need_suction.,0BTQAI<c3>{H}NNIIDD<c3>{H}SSAHKK<c1>{HL-}SHEN0E<a6>{L%0},keep
aac75,Having_this_disease_has_made_me_hopeful.,0BHXAEVV<c1>IXNX<a3>DHIHSS<c3>{H}DDIX<a1>ZZIIZZ<c4>{H}HXAEZZ<a3>MMEIDD<c3>{H}MMII<a4>HXOUPP<c1>{HL-}FFEL0E<a6>{L%0},keep
aac76,I_worry_about_hatred.,0BTQAI<c3>{H}WWER<c1>{H}II<a4>AX<a1>BBAUTT<c3>HXEI<c1>{HL-}TTRRIXDD0E<a6>{L%0},keep
aac77,I_fear_the_loss_of_hearing.,0BTQAI<c3>{H}FFIHRX<c3>{H}DHAX<a2>LLAASS<c4>{H}AXVV<a2>HXIHRX<c1>{HL-}IXNX0E<a6>{L%0},keep
aac78,I_can't_think_about_that_now.,0BTQAI<c3>{H}HKAENNTT<a3>THIHNXKK<c4>{HL-}AX<a1>BBAUTT<c3>DHAETT<c3>NNAU0E<c6>{L%0},keep
aac79,It_makes_me_really_mad_that_Harry_hid.,0BTQIHTT<c3>{H}MMEIKKSS<c3>{H}MMII<a4>RRIHLX<c1>{H}II<a3>MMAEDD<c4>{H}DHAETT<a3>HXAERX<c1>{H}II<a3>HXIHDD0E<c6>{HL-L%0},keep
aac25,I_see.,0BTQAI<c3>{H}SSII0E<c6>{HL-L%0},keep
aac80,I_am_determined_to_hurry.,0BTQAI<c3>{H}AEMM<a3>DDIX<a1>HTER<c1>{H}MMIXNNDD<a4>HTUW<a2>HXER<c1>{HL-}II0E<a6>{L%0},keep
aac81,One_good_thing_about_this_is_hope.,0BWWAHNN<c3>{H}GGUHDD<c3>THIHNX<c4>{H}AX<a1>BBAUTT<c3>DHIHSS<c3>IHZZ<a3>HXOUPP0E<c6>{HL-L%0},keep
aac82,I_need_to_see_the_doctor_about_hiccups.,0BTQAI<c3>{H}NNIIDD<c4>{H}HTUW<a2>SSII<c3>{H}DHAX<a2>DDAAKK<c1>{H}TTER<a4>AX<a1>BBAUTT<c3>HXIHKK<c1>{HL-}AHPPSS0E<a6>{L%0},keep
aac83,I_need_to_make_an_appointment_for_Harry.,0BTQAI<c3>{H}NNIIDD<c4>{H}HTUW<a2>MMEIKK<c3>{H}AENN<a2>AX<a1>HPOINNTT<c1>{H}MMIXNNTT<a4>FFOR<a2>HXAERX<c1>{HL-}II0E<a6>{L%0},keep
aac13,I_don't_understand.,0BTQAI<c3>{H}DDOUNNTT<a3>TQAHNN<b1>DDER<a1>SSTTAENNDD0E<c6>{HL-L%0},keep
aac84,My_seating_isn't_working.,0BMMAI<a3>SSIIDX<c1>{H}IXNX<a4>TQIHZZ<c1>IXNNTT<a3>WWERKK<c1>{HL-}IXNX0E<a6>{L%0},keep
aac85,My_wheelchair_isn't_working.,0BMMAI<a3>WWIILX<c1>{H}CHEHRX<b4>TQIHZZ<c1>IXNNTT<a3>WWERKK<c1>{HL-}IXNX0E<a6>{L%0},keep
aac86,My_computer_isn't_working.,0BMMAI<a3>HKAXMM<a1>HPJYUWDX<c1>{H}ER<a4>TQIHZZ<c1>IXNNTT<a3>WWERKK<c1>{HL-}IXNX0E<a6>{L%0},keep
aac87,I_have_noticed_that_holly_helped.,0BTQAI<c3>{H}HXAEVV<a3>NNOU<c1>{H}DXIXSSTT<a4>DHAETT<a3>HXAALX<c1>{H}II<a4>HXEHLXPPTT0E<c6>{HL-L%0},keep
aac88,What's_next?,0BWWAHTTSS<c3>NNEHKKSSTT0E<c6>{HL-L%3},keep
aac89,I_need_information_about_hospitals.,0BTQAI<c3>{H}NNIIDD<c4>{H}TQIHNN<b1>FFER<a1>MMEI<c1>{H}SHEN<a4>AX<a1>BBAUTT<c3>HXAASS<c1>{HL-}PPIX<a1>TTELZZ0E<a6>{L%0},keep
file0002,There_once_was_a_velveteen_rabbit.,0BDHEHRX<c3>{H}WWAHNNSS<c3>{H}WWAHZZ<a3>AX<a2>VVEHLX<c1>{HL-}VVIX<a1>HTIINN<b3>RRAEBB<c1>IHTT0E<a6>{L%0},
file0004,In_the_beginning_he_was_really_splendid.,0BIHNN<a2>DHAX<a2>BBIX<a1>GGIHNN<c1>{H}IXNX<a4>HXII<c3>WWAHZZ<a3>RRIHLX<c1>{H}II<a3>SSPPLLEHNN<c1>{HL-}DDIXDD0E<a6>{L%0},
file0006,We_walk_home.,0BWWII<c3>{H}WWAOKK<c3>{H}HXOUMM0E<c6>{HL-L%0},
file0007,Even_the_grass_was_not_green.,0BTQIIVV<c1>{H}EN<a4>DHAX<a2>GGRRAESS<c4>{H}WWAHZZ<a3>NNAATT<c3>{H}GGRRIINN0E<c6>{HL-L%0},
file0008,Sometimes_we_sleep_over_night.,0BSSAHMM<c1>{H}HTAIMMZZ<b3>WWII<c3>SSLLIIPP<c4>{H}TQOUVV<c1>ER<a3>NNAITT0E<c6>{HL-L%0},
file0010,Can_I_have_ten_bucks?,0BHKAENN<a3>TQAI<c3>{H}HXAEVV<c4>{H}HTEHNN<c3>BBAHKKSS0E<c6>{LH-H%4},
file0011,I_detest_rude.,0BTQAI<c3>{H}DDIX<a1>HTEHSSTT<c3>{H}RRUWDD0E<c6>{HL-L%0},
file0013,For_several_hours_he_adhered_to_this_program.,0BFFOR<a2>SSEHVV<c1>RREL<a3>TQAU<c1>{H}ERZZ<a4>HXII<c3>AXDD<a1>HXIHRXDD<c4>{H}HTUW<a2>DHIHSS<c3>HPRROU<c1>{HL-}GGRRAEMM0E<b6>{L%0},
file0014,I_didn't_have_to_come_back.,0BTQAI<c3>{H}DDIHDX<c1>{H}IXNNTT<a3>HXAEVV<c4>{H}HTUW<a2>HKAHMM<c3>{H}BBAEKK0E<c6>{HL-L%0},
file0015,I_like_his_manners.,0BTQAI<c3>{H}LLAIKK<c4>{H}HXIHZZ<a3>MMAENN<c1>{HL-}ERZZ0E<a6>{L%0},
file0016,I_may_become_as_much_a_man_as_any_other.,0BTQAI<c3>{H}MMEI<a3>BBIX<a1>HKAHMM<c4>{H}AEZZ<a3>MMAHCH<c4>{H}AX<a2>MMAENN<c4>{HL-}AEZZ<a3>TQEHNN<c1>II<a3>TQAHDH<c1>ER0E<a6>{L%0},
file0017,He_drove_back_the_wolves_with_flying_brands.,0BHXII<c3>{H}DDRROUVV<c3>{H}BBAEKK<c4>{H}DHAX<a2>WWUHLXVVZZ<c4>{H}WWIHTH<a2>FFLLAI<c1>{H}IXNX<a3>BBRRAENNDDZZ0E<c6>{HL-L%0},
file0018,He_looks_like_a_little_gentleman.,0BHXII<c3>{H}LLUHKKSS<c4>{H}LLAIKK<a3>AX<a2>LLIHDX<c1>{H}EL<a3>JHEHNN<c1>{HL-}TTEL<a1>MMEN0E<a6>{L%0},
file0019,Why_should_I_do_this_for_you?,0BWWAI<c3>{HL-}SHUHDD<a3>TQAI<c3>DDUW<a3>DHIHSS<c3>FFOR<a2>JYUW0E<a6>{L%3},
file0020,You_did_for_one_day.,0BJYUW<c3>{H}DDIHDD<c4>{H}FFOR<a2>WWAHNN<c3>{H}DDEI0E<c6>{HL-L%0},
file0021,I've_no_objection_to_your_knowing_him.,0BTQAIVV<c3>{H}NNOU<c3>AXBB<a1>JHEHKK<c1>{H}SHEN<a4>HTUW<a2>JYOR<a3>NNOU<c1>{HL-}IXNX<a3>HXIHMM0E<a6>{L%0},
file0022,No_one_else_can_help_me.,0BNNOU<c3>{H}WWAHNN<c3>TQEHLXSS<c3>{H}HKAENN<a3>HXEHLXPP<c3>{HL-}MMII0E<a6>{L%0},
file0023,Yes_you_did.,0BJYEHSS<c3>{H}JYUW<c3>DDIHDD0E<c6>{HL-L%0},
file0024,I_did_not.,0BTQAI<c3>{H}DDIHDD<c3>{H}NNAATT0E<c6>{HL-L%0},
file0027,I_didn't_know_that.,0BTQAI<c3>{H}DDIHDX<c1>{H}IXNNTT<a3>NNOU<c3>{HL-}DHAETT0E<c6>{L%0},
file0029,I_should_have_asked_him_in.,0BTQAI<c3>{H}SHUHDD<a3>HXAEVV<a3>TQAESSKKTT<c3>{H}HXIHMM<a4>TQIHNN0E<c6>{HL-L%0},
file0031,There_came_a_time_when_he_fastened_the_pine.,0BDHEHRX<c3>{H}HKEIMM<c3>{H}AX<a2>HTAIMM<c4>{H}WWEHNN<c3>HXII<c3>FFAESS<c1>{H}IXNNDD<a3>DHAX<a2>HPAINN0E<c6>{HL-L%0},
file0032,As_his_eyes_closed_it_fell_away_from_his_hand.,0BAEZZ<a3>HXIHZZ<a3>TQAIZZ<c4>{H}HKLLOUZZDD<c4>{H}TQIHTT<c3>FFEHLX<c3>{H}AX<a1>WWEI<c3>{H}FFRRAHMM<a3>HXIHZZ<a3>HXAENNDD0E<c6>{HL-L%0},
file0034,I_have_it_right_here.,0BTQAI<c3>{H}HXAEVV<c3>{H}IHTT<a4>RRAITT<c3>{H}HXIHRX0E<c6>{HL-L%0},
file0035,So_I_did.,0BSSOU<a3>TQAI<c3>DDIHDD0E<c6>{HL-L%0},
file0036,He_looked_so_wistful_as_he_went_away.,0BHXII<c3>{H}LLUHKKTT<c4>{H}SSOU<c3>{H}WWIHSSTT<c1>{H}FFEL<a4>AEZZ<a3>HXII<c3>WWEHNNTT<c3>{H}AX<a1>WWEI0E<c6>{HL-L%0},
file0038,I_know_a_story.,0BTQAI<c3>{H}NNOU<c3>{H}AX<a2>SSTTOR<c1>{HL-}II0E<a6>{L%0},
file0040,Get_on_your_chair_please.,0BGGEHTT<c2>AANN<c3>{H}JYOR<a3>CHEHRX00<c6>{HL-H%2}HPLLIIZZ0E<c6>{HL-L%0},
file0041,I_will_not_grant_your_wish.,0BTQAI<c3>{H}WWIHLX<a3>NNAATT<c3>{H}GGRRAENNTT<c4>{H}JYOR<a3>WWIHSH0E<c6>{HL-L%0},
file0043,He_was_playing_cribbage_with_the_Factor.,0BHXII<c3>{H}WWAHZZ<a3>HPLLEI<c1>{H}IXNX<a4>HKRRIHBB<c1>{H}IXJH<a4>WWIHTH<a2>DHAX<a2>FFAEKK<c1>{HL-}TTER0E<a6>{L%0},
file0044,It's_a_mercy_you_didn't.,0BTQIHTTSS<c3>{H}AX<a2>MMER<c1>{H}SSII<a4>JYUW<c3>DDIHDX<c1>{HL-}IXNNTT0E<a6>{L%0},
file0045,Now_go_and_do_not_seek_me_again.,0BNNAU<c3>{H}GGOU00<c6>{HL-H%2}AENNDD<a3>DDUW<c4>{H}NNAATT<c3>{H}SSIIKK<c3>{H}MMII<a4>AX<a1>GGEHNN0E<c6>{HL-L%0},
file0047,I_hate_affected.,0BTQAI<c3>{H}HXEITT<c3>{H}AX<a1>FFEHKK<c1>{HL-}TTIXDD0E<a6>{L%0},
file0048,She_says_no.,0BSHII<c3>{H}SSEHZZ<c3>{H}NNOU0E<c6>{HL-L%0},
file0051,She_had_seen_him.,0BSHII<c3>{H}HXAEDD<a3>SSIINN<c3>{HL-}HXIHMM0E<a6>{L%0},
file0053,She_needs_a_heart.,0BSHII<c3>{H}NNIIDDZZ<c3>{H}AX<a2>HXAARXTT0E<c6>{HL-L%0},
file0054,They_were_howling_at_the_very_gates.,0BDHEI<c3>{H}WWER<a3>HXAULX<c1>{H}IXNX<a4>AETT<a2>DHAX<a2>VVEHRX<c1>II<a3>GGEITTSS0E<c6>{HL-L%0},
file0055,We'll_have_another_play_sometime_that_he_can_see.,0BWWIILX<c3>{H}HXAEVV<c4>{H}AX<a1>NNAHDH<c1>ER<a3>HPLLEI<c4>{H}SSAHMM<c1>{H}HTAIMM<b3>DHAETT<a3>HXII<c3>HKAENN<a3>SSII0E<c6>{HL-L%0},
file0056,He_and_the_Factor_paused_from_the_game_to_listen.,0BHXII<c3>{H}AENNDD<a3>DHAX<a2>FFAEKK<c1>{H}TTER<a4>HPAOZZDD<c4>{H}FFRRAHMM<a3>DHAX<a2>GGEIMM<c4>{H}HTUW<a2>LLIHSS<c1>{HL-}EN0E<a6>{L%0},
file0057,Perhaps_he'll_help_act.,0BHPER<a1>HXAEPPSS<c3>{H}HXIILX<c3>HXEHLXPP<c3>{H}TQAEKKTT0E<c6>{HL-L%0},
file0058,Follow_me.,0BFFAALX<c1>{HL-}OU<a3>MMII0E<a6>{L%0},
file0059,So_strange_was_the_dream.,0BSSOU<c3>{H}SSTTRREINNJH<c3>{H}WWAHZZ<a3>DHAX<a2>DDRRIIMM0E<c6>{HL-L%0},
file0060,Wouldn't_that_be_jolly?,0BWWUHDX<c1>ENTT<a3>DHAETT<c3>{H}BBII<a3>JHAALX<c1>{LH-}II0E<a6>{H%4},
file0061,He_did_not_know_whether_he_would_find_it.,0BHXII<c3>{H}DDIHDD<c4>{H}NNAATT<c3>{H}NNOU<c4>{H}WWEHDH<c1>ER<a3>HXII<c3>WWUHDD<a3>FFAINNDD<c3>{HL-}IHTT0E<a6>{L%0},
file0062,I_never_had_such_a_fine_bouquet_before.,0BTQAI<c3>{H}NNEHVV<c1>{H}ER<a3>HXAEDD<c3>{H}SSAHCH<c4>{H}AX<a2>FFAINN<c3>BBOU<a1>HKEI<c4>{HL-}BBIX<a1>FFOR0E<c6>{L%0},
file0063,There_was_a_crash.,0BDHEHRX<c3>{H}WWAHZZ<a3>AX<a2>HKRRAESH0E<c6>{HL-L%0},
file0064,How_pretty_it_is!,0BHXAU<c3>HPRRIHDX<c1>{H}II<a3>TQIHTT<c3>{HL-}IHZZ0E<a6>{L%1},
file0065,I_am_sure_I_shall_not_be_given_a_heart.,0BTQAI<c3>{H}AEMM<a3>SHUHRX<c3>TQAI<c3>SHAELX<a3>NNAATT<c3>{H}BBII<a3>GGIHVV<c1>{H}EN<a3>AX<a2>HXAARXTT0E<c6>{HL-L%0},
file0066,The_door_was_burst_open.,0BDHAX<a2>DDOR<c4>{H}WWAHZZ<a3>BBERSSTT<c3>{H}TQOU<c1>{HL-}PPEN0E<a6>{L%0},
file0067,He_could_see_the_wolves_flooding_into_the_fort.,0BHXII<c3>{H}HKUHDD<a3>SSII<c4>{H}DHAX<a2>WWUHLXVVZZ<c4>{H}FFLLAHDX<c1>{H}IXNX<a4>IHNN<a1>HTUW<c3>DHAX<a2>FFORTT0E<c6>{HL-L%0},
file0068,He_had_taken_the_shape_of_a_Beast.,0BHXII<c3>{H}HXAEDD<a3>HTEIKK<c1>{H}EN<a3>DHAX<a2>SHEIPP<c4>{H}AXVV<a2>AX<a2>BBIISSTT0E<c6>{HL-L%0},
file0070,It_was_nearly_as_big_as_an_elephant.,0BTQIHTT<c3>{H}WWAHZZ<a3>NNIHRX<c1>{H}LLII<a3>TQAEZZ<c3>{H}BBIHGG<c4>{H}AEZZ<a3>AENN<a2>TQEHLX<c1>{HL-}AX<a1>FFIXNNTT0E<a6>{L%0},
file0071,They_are_lovely.,0BDHEI<c3>{H}AARX<a3>LLAHVV<c1>{HL-}LLII0E<a6>{L%0},
file0072,They_were_leaping_straight_for_him.,0BDHEI<c3>{H}WWER<a3>LLIIPP<c1>{H}IXNX<a3>SSTTRREITT<c3>{HL-}FFOR<a2>HXIHMM0E<a6>{L%0},
file0073,Beth's_roses_are_sweeter_too_.,0BBBEHTHSS<c3>{H}RROUZZ<c1>{H}IXZZ<a4>AARX<a3>SSWWIIDX<c1>ER<a3>HTUW0E<c6>{HL-L%0},
file0074,There_were_five_eyes_in_its_face.,0BDHEHRX<c3>{H}WWER<a3>FFAIVV<c3>TQAIZZ<c4>{H}IHNN<a2>IHTTSS<a3>FFEISS0E<c6>{HL-L%0},
file0076,There_were_five_long_arms.,0BDHEHRX<c3>{H}WWER<a3>FFAIVV<c3>LLAANX<c3>TQAARXMMZZ0E<c6>{HL-L%0},
file0078,Birds_in_their_little_nests_agree.,0BBBERDDZZ<c4>{H}IHNN<a2>DHEHRX<a3>LLIHDX<c1>EL<a3>NNEHSSTTSS<c4>{H}AX<a1>GGRRII0E<c6>{HL-L%0},
file0079,I_don't_have_that_much_money.,0BTQAI<c3>{H}DDOUNNTT<a3>HXAEVV<c4>{H}DHAETT<a3>MMAHCH<c3>MMAHNN<c1>{HL-}II0E<a6>{L%0},
file0080,She_called_this_tidying_up.,0BSHII<c3>{H}HKAOLXDD<c4>{H}DHIHSS<c3>{H}HTAI<c1>{H}DXII<a1>IXNX<a3>TQAHPP0E<c6>{HL-L%0},
file0081,Thereafter_they_spoke_no_more.,0BDHEHRX<b1>AEFF<c1>{H}TTER<a3>DHEI<c3>SSPPOUKK<c4>{H}NNOU<c3>{H}MMOR0E<c6>{HL-L%0},
